team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
MEM,2009,-5.23,-5.46,-6.0,103.5,109.5,90.1,24.0,58.0,0.293
MIA,2009,0.49,0.26,0.2,107.8,107.6,89.9,43.0,39.0,0.524
MIL,2009,-0.88,-1.09,-1.2,106.7,107.9,92.6,34.0,48.0,0.415
MIN,2009,-4.74,-4.91,-5.3,106.1,111.4,91.6,24.0,58.0,0.293
NJN,2009,-2.31,-2.44,-2.7,108.3,111.0,89.9,34.0,48.0,0.415
NOP,2009,1.41,1.55,1.7,108.7,107.0,87.8,49.0,33.0,0.598
NYK,2009,-2.33,-2.61,-2.7,108.1,110.8,96.7,32.0,50.0,0.39
OKC,2009,-6.04,-6.1,-6.5,102.9,109.4,93.6,23.0,59.0,0.28
ORL,2009,6.48,6.7,7.3,109.2,101.9,92.3,59.0,23.0,0.72
PHI,2009,0.16,0.07,0.1,107.9,107.8,90.0,41.0,41.0,0.5
PHX,2009,1.62,1.93,2.0,113.6,111.6,96.0,46.0,36.0,0.561
POR,2009,5.0,5.34,6.1,113.9,107.8,86.6,54.0,28.0,0.658
SAC,2009,-8.6,-8.76,-9.2,105.5,114.7,94.2,17.0,65.0,0.207
SAS,2009,3.36,3.76,4.2,108.5,104.3,88.4,54.0,28.0,0.658
TOR,2009,-2.54,-2.82,-3.0,107.0,110.0,92.0,33.0,49.0,0.402
UTA,2009,2.31,2.65,2.8,110.1,107.3,93.1,48.0,34.0,0.585
WAS,2009,-6.98,-7.46,-8.2,105.4,113.6,91.0,19.0,63.0,0.232
ATL,2010,4.44,4.66,5.2,111.9,106.7,90.1,53.0,29.0,0.646
BOS,2010,3.37,3.66,3.9,107.7,103.8,91.6,50.0,32.0,0.61
CHA,2010,1.3,1.46,1.6,104.4,102.8,90.4,44.0,38.0,0.537
CHI,2010,-1.64,-1.63,-1.8,103.5,105.3,93.1,41.0,41.0,0.5
CLE,2010,6.17,6.52,7.1,111.2,104.1,91.4,61.0,21.0,0.744
DAL,2010,2.66,2.72,2.9,109.2,106.3,92.5,55.0,27.0,0.671
DEN,2010,4.15,4.09,4.3,111.8,107.5,94.8,53.0,29.0,0.646
DET,2010,-5.02,-5.11,-5.8,105.6,111.4,88.5,27.0,55.0,0.329
GSW,2010,-3.28,-3.6,-3.6,108.1,111.7,100.4,26.0,56.0,0.317
